CODIGO	NOME_FUNDO	TIPO_PRODUTO	CEDENTE	SACADO	LIMITE_CEDENTE	ESTADO_CEDENTE	ESTADO_SACADO	VENCIMENTO	DATA_EMISSAO	DATA_PAGAMENTO	VALOR_REAL	VALOR_DESAGIO	TAXA_MENSAL	RISCO_1	RISCO_2	RISCO_3	RISCO_4	RISCO_5	RISCO_6	RISCO_7	RISCO_8	RISCO_9	RISCO_10	RISCO_11	RISCO_12	RISCO_13	RISCO_14	RISCO_15	RISCO_16	RISCO_17	RISCO_18	RISCO_19	RISCO_20	RISCO_21	STATUS_LIQ_TITULO
1	Fundo 1	Produto 1	Cedente 2	Sacado 249	10000000	CE	SP	2018-03-18	2017-10-28	2018-03-18	1190.99	166.3848694	0.028213586	0.028472	1	0		0		0	0.610895141	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.985155	EM_DIA
2	Fundo 2	Produto 1	Cedente 1	Sacado 1372	8035714	PA	MG	2018-06-24	2018-05-21	2018-06-21	29209.38	571.781205	0.017252543	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.380524644	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.707374	EM_DIA
3	Fundo 1	Produto 1	Cedente 2	Sacado 346	10000000	CE	PR	2018-03-19	2017-11-29	2018-03-21	756.66	63.95158064	0.022374607	0.033609	1	0		0		0	0.58137927	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.98756	ATRASO
4	Fundo 2	Produto 1	Cedente 1	Sacado 585	8035714	PA	PA	2018-04-03	2018-02-14	2018-04-06	7869.88	190.7647277	0.015081806	0.183401	0.5	0.124609	0.007712	0.000024	0.684831	0	0.179036362	0.020187	0.128587	0.666667	0.099808	0.415602	0	0.4	0.6	0.012217	0.017485	0.419753	0.609827	0.906279	ATRASO
5	Fundo 1	Produto 1	Cedente 2	Sacado 2184	10000000	CE	RJ	2018-02-02	2017-11-03	2018-02-02	1064.92	105.9766933	0.031770113	0.028472	1	0		0		0	0.514459388	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.368493	EM_DIA
6	Fundo 2	Produto 1	Cedente 1	Sacado 589	8035714	PA	SC	2018-05-14	2018-03-06	2018-05-14	7383.22	351.7446532	0.020441362	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.304978593	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.009666	EM_DIA
7	Fundo 2	Produto 1	Cedente 1	Sacado 2185	8035714	PA	SP	2018-07-02	2018-06-15	2018-06-25	34192.8	2575.793586	0.136744796	1	0.9	0.074838	0.001285	0		0	0.643088054	0.000266	0.192605	0.333333	0.172745	0.406859	0	0.266667	0.8	0.029915	0.037156	0.432099	0.702674	0.799421	EM_DIA
8	Fundo 2	Produto 1	Cedente 1	Sacado 466	8035714	PA	PA	2018-07-02	2018-05-19	2018-06-27	3090.69	244.1577402	0.053207687	0.192542	0.5	0.958204	0.011568	0.01339	0.246686	0	0.41979356	0.020198	0.014349	0.666667	0.159949	0.392065	0	0.133333	0.2	0.010041	0.012547	0.395062	0.698438	0.998154	EM_DIA
9	Fundo 2	Produto 1	Cedente 1	Sacado 903	8035714	PA	AM	2018-04-22	2018-03-24	2018-04-22	28136.78	1936.403497	0.071276884	1	0.9	0.074088	0.014139	0.013354	0.202504	0	0.958258917	0.000266	0.148455	0.333333	0.121561	0.375925	0	0.333333	1	0.016986	0.024074	0.407407	0.615808	0.886448	EM_DIA
10	Fundo 1	Produto 1	Cedente 2	Sacado 51	10000000	CE	MT	2018-03-20	2017-11-19	2018-03-20	542.87	62.43387671	0.027357799	0.033122	1	0		0		0	0.429375585	0		0		0.109617	0	0.2	0.6	0.081502	0.079957	0.395062	0.889614	0.11029	EM_DIA
11	Fundo 2	Produto 1	Cedente 1	Sacado 57	8035714	PA	MS	2018-04-22	2018-03-08	2018-04-22	8509.43	529.7037929	0.041080303	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.256590154	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.712314	EM_DIA
12	Fundo 2	Produto 1	Cedente 1	Sacado 171	8035714	PA	PA	2018-04-24	2018-02-09	2018-04-20	8250	703.7779958	0.033744292	0.182898	0.5	0.124609	0.001285	0		0	0.424323177	0.020187	0.126932	0.666667	0.096609	0.415602	0	0.466667	0.8	0.012217	0.017485	0.419753	0.609827	0.67632	EM_DIA
13	Fundo 2	Produto 1	Cedente 1	Sacado 2186	8035714	PA	PI	2018-06-17	2018-05-23	2018-06-18	3738.25	294.7903655	0.095360491	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.062976608	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.9468	ATRASO
14	Fundo 1	Produto 1	Cedente 2	Sacado 2187	10000000	CE	BA	2018-03-19	2017-11-24	2018-03-20	2968.27	343.1518677	0.028949837	0.033609	1	0		0		0	0.10452922	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.997005	ATRASO
15	Fundo 4	Produto 1	Cedente 2	Sacado 529	10000000	CE	SP	2018-03-20	2017-11-22	2018-03-22	361.28	46.88932007	0.031510542	0.033609	1	0		0		0	0.4787039	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.983533	ATRASO
16	Fundo 1	Produto 1	Cedente 2	Sacado 555	10000000	CE	PR	2018-03-19	2017-11-22	2018-02-07	642.03	74.31167594	0.028480655	0.033609	1	0		0		0	0.418698618	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.977803	EM_DIA
17	Fundo 2	Produto 1	Cedente 1	Sacado 2188	8035714	PA	SP	2018-07-28	2018-07-13	2018-07-28	96371.89	8164.985452	0.176625558	0.196843	0.5	0.958703	0.03599	0		0	0.400177645	0.020198	0.037528	0.666667	0.190019	0.406859	0	0.4	0.6	0.055117	0.075854	0.407407	0.634165	0.754795	EM_DIA
18	Fundo 1	Produto 1	Cedente 2	Sacado 304	10000000	CE	RS	2018-03-20	2018-02-19	2018-03-20	665.17	50.63944377	0.078856184	0.044078	1	0		0		0	0.967763582	0.000637	0.005519	0		0	0	0.133333	0.4	0.139847	0.138412	0.395062	0.881809	0.994813	EM_DIA
19	Fundo 2	Produto 1	Cedente 1	Sacado 598	8035714	PA	SP	2018-05-31	2018-05-03	2018-05-31	8560.96	157.1429175	0.019679705	1	0.9	0.074338	0.01671	0.013354	0.224595	0	0.047411021	0.000266	0.165011	0.333333	0.140755	0.347007	0	0.133333	0.4	0.010698	0.013903	0.407407	0.671586	0.900335	EM_DIA
20	Fundo 2	Produto 1	Cedente 1	Sacado 2189	8035714	PA	RS	2018-05-31	2018-05-03	2018-05-31	3661.83	140.8042203	0.041254351	1	0.9	0.074338	0.01671	0.013354	0.224595	0	0.377809321	0.000266	0.165011	0.333333	0.140755	0.347007	0	0.133333	0.4	0.010698	0.013903	0.407407	0.671586	0.675568	EM_DIA
21	Fundo 1	Produto 1	Cedente 2	Sacado 2190	10000000	CE	SP	2018-01-31	2017-11-03	2018-02-03	392.75	21.88880357	0.018449422	0.028472	1	0		0		0	0.039110946	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.944985	ATRASO
22	Fundo 2	Produto 1	Cedente 1	Sacado 2191	8035714	PA	MG	2018-07-03	2018-05-22	2018-07-03	9302.48	443.7432848	0.033845013	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.286641521	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.336185	EM_DIA
23	Fundo 2	Produto 1	Cedente 1	Sacado 220	8035714	PA	PA	2018-05-07	2018-02-28	2018-05-07	1220.8	125.844015	0.044233863	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.520602349	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.594657	EM_DIA
24	Fundo 1	Produto 1	Cedente 2	Sacado 1441	10000000	CE	GO	2018-02-01	2017-11-02	2018-02-01	954.26	104.3870811	0.034815719	0.028472	1	0		0		0	0.37362105	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.994497	EM_DIA
25	Fundo 2	Produto 1	Cedente 1	Sacado 2192	8035714	PA	PE	2018-08-11	2018-07-28	2018-08-09	14996.96	238.4221759	0.034376935	0.199459	0.5	0.958703	0.065553	0		0	0.462965055	0.020288	0.002208	0.666667	0.204734	0.495629	0	0.4	0.6	0.007857	0.010327	0.432099	0.663979	0.905699	EM_DIA
26	Fundo 1	Produto 1	Cedente 2	Sacado 149	10000000	CE	PR	2018-02-01	2017-10-26	2018-02-01	1056	130.4491195	0.036299445	0.028472	1	0		0		0	0.96515498	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.877697	EM_DIA
27	Fundo 1	Produto 1	Cedente 2	Sacado 2193	10000000	CE	PA	2018-03-19	2017-10-02	2018-03-19	742.81	115.1815398	0.026075957	0.026995	1	0		0		0	0.433041414	0.001304	0.001104	0		0.159381	0	0.066667	0.2	0.170634	0.172491	0.407407	0.863363	0.634775	EM_DIA
28	Fundo 2	Produto 1	Cedente 1	Sacado 2194	8035714	PA	MA	2018-02-26	2018-02-14	2018-02-28	5427.56	164.0523444	0.077286096	0.183401	0.5	0.124609	0.007712	0.000024	0.684831	0	0.580561224	0.020187	0.128587	0.666667	0.099808	0.415602	0	0.4	0.6	0.012217	0.017485	0.419753	0.609827	0.949836	ATRASO
29	Fundo 1	Produto 1	Cedente 2	Sacado 249	10000000	CE	SP	2018-03-18	2017-10-27	2018-03-18	852.77	130.9432853	0.030638422	0.028472	1	0		0		0	0.955317628	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.49369	EM_DIA
30	Fundo 1	Produto 1	Cedente 2	Sacado 281	10000000	CE	SC	2018-04-10	2017-11-13	2018-04-11	746.5	113.5621851	0.029120489	0.032025	1	0		0.000649	0.005891	0	0.716273279	0		0		0.109617	0	0.133333	0.4	0.168702	0.172724	0.407407	0.852432	0.999304	ATRASO
31	Fundo 1	Produto 1	Cedente 2	Sacado 562	10000000	CE	SP	2018-04-12	2017-10-16	2018-04-12	550.71	54.42972521	0.016011842	0.028472	1	0		0		0	0.533066892	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.305745	EM_DIA
32	Fundo 2	Produto 1	Cedente 1	Sacado 2195	8035714	PA	PE	2018-05-07	2018-03-01	2018-05-07	1555.8	156.9863357	0.043983828	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.539664934	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.446839	EM_DIA
33	Fundo 1	Produto 1	Cedente 2	Sacado 2196	10000000	CE	BA	2018-04-11	2018-01-24	2018-04-11	902	96.95641833	0.040579645	0.039773	1	0		0		0	0.190979426	0.000075	0.002759	0		0.047075	0	0.2	0.6	0.723438	0.707151	0.395062	0.892858	0.993072	EM_DIA
34	Fundo 1	Produto 1	Cedente 2	Sacado 2197	10000000	CE	RN	2018-05-09	2018-04-10	2018-05-08	443.64	33.53181743	0.078289223	0.049757	1	0		0		0	0.142866086	0.000002	0.000552	0		0.163416	0	0.066667	0.2	0.188434	0.18597	0.382716	0.884322	0.964993	EM_DIA
35	Fundo 1	Produto 1	Cedente 2	Sacado 2198	10000000	CE	SP	2018-05-11	2018-04-11	2018-05-11	441.7	16.76491591	0.037955436	0.049757	1	0		0		0	0.605965029	0.000002	0.000552	0		0.163416	0	0.066667	0.2	0.188434	0.18597	0.382716	0.884322	0.938263	EM_DIA
36	Fundo 1	Produto 1	Cedente 2	Sacado 1324	10000000	CE	RS	2018-05-11	2018-02-15	2018-05-14	301	20.44896912	0.023469481	0.043244	1	0		0		0	0.991121237	0.000874	0.001656	0		0	0	0.066667	0.2	0.140517	0.13886	0.382716	0.883173	0.839272	ATRASO
37	Fundo 1	Produto 1	Cedente 2	Sacado 368	10000000	CE	PE	2018-05-10	2018-04-14	2018-05-08	418.03	19.39490619	0.053722418	0.049757	1	0		0		0	0.479296911	0.000002	0.000552	0		0.163416	0	0.066667	0.2	0.188434	0.18597	0.382716	0.884322	0.41795	EM_DIA
38	Fundo 2	Produto 1	Cedente 2	Sacado 34	10000000	CE	RS	2018-04-03	2018-02-02	2018-04-03	247	22.42994927	0.044418265	0.039773	1	0		0		0	0.730340175	0.000075	0.002759	0		0.047075	0	0.2	0.6	0.723438	0.707151	0.395062	0.892858	0.261849	EM_DIA
39	Fundo 2	Produto 1	Cedente 1	Sacado 1077	8035714	PA	MG	2018-05-21	2018-03-23	2018-05-21	13121.32	982.5351647	0.037399231	0.186404	0.5	0.164517	0.014139	0.013378	0.706922	0	0.752041438	0.020187	0.148455	0.666667	0.121561	0.375925	0	0.533333	1	0.016986	0.024074	0.407407	0.615808	0.537979	EM_DIA
40	Fundo 2	Produto 1	Cedente 1	Sacado 2189	8035714	PA	RS	2018-05-22	2018-05-05	2018-05-22	5822.75	339.247719	0.105096233	1	0.9	0.074338	0.01671	0.013354	0.224595	0	0.619354929	0.000266	0.165011	0.333333	0.140755	0.347007	0	0.133333	0.4	0.010698	0.013903	0.407407	0.671586	0.638937	EM_DIA
41	Fundo 1	Produto 1	Cedente 2	Sacado 2199	10000000	CE	RS	2018-04-03	2018-02-26	2018-04-03	1447.13	144.2016831	0.082374708	0.04491	1	0		0		0	0.002301685	0.000553	0.009382	0		0	0	0.133333	0.4	0.21225	0.213343	0.382716	0.868285	0.936178	EM_DIA
42	Fundo 1	Produto 1	Cedente 2	Sacado 2200	10000000	CE	MT	2018-04-12	2018-03-12	2018-04-11	1814.88	133.9029345	0.071317692	0.046926	1	0		0		0	0.479976442	0.000313	0.003311	0		0.065905	0	0.133333	0.4	0.946039	0.950397	0.382716	0.868756	0.962959	EM_DIA
43	Fundo 2	Produto 1	Cedente 1	Sacado 502	8035714	PA	PE	2018-05-24	2018-03-03	2018-05-24	29170.1	1933.13294	0.023753663	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.115471023	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.946036	EM_DIA
44	Fundo 2	Produto 1	Cedente 1	Sacado 2201	8035714	PA	PA	2018-05-24	2018-04-10	2018-05-24	36303.97	1749.495313	0.032610237	1	0.9	0.074338	0.003856	0		0	0.088965991	0.000266	0.159492	0.333333	0.134357	0.347007	0	0.266667	0.8	0.009848	0.012648	0.395062	0.679546	0.44868	EM_DIA
45	Fundo 2	Produto 1	Cedente 1	Sacado 2202	8035714	PA	PE	2018-07-05	2018-05-21	2018-07-05	9130.9	288.8383903	0.020979064	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.452926563	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.404813	EM_DIA
46	Fundo 1	Produto 1	Cedente 2	Sacado 157	10000000	CE	GO	2018-04-13	2018-02-14	2018-04-13	136.94	13.05152854	0.048213783	0.043244	1	0		0		0	0.089648532	0.000874	0.001656	0		0	0	0.066667	0.2	0.140517	0.13886	0.382716	0.883173	0.938129	EM_DIA
47	Fundo 1	Produto 1	Cedente 2	Sacado 15	10000000	CE	GO	2018-04-14	2018-02-16	2018-04-14	136.94	14.96935662	0.056118712	0.043244	1	0		0		0	0.060352393	0.000874	0.001656	0		0	0	0.066667	0.2	0.140517	0.13886	0.382716	0.883173	0.999773	EM_DIA
48	Fundo 2	Produto 1	Cedente 1	Sacado 2203	8035714	PA	MA	2018-09-16	2018-07-20	2018-09-16	36514.82	2141.759552	0.029921033	0.198298	0.5	0.958703	0.048843	0		0	0.594136256	0.020232	0.005519	0.666667	0.196417	0.425689	0	0.4	0.6	0.055117	0.075854	0.407407	0.634165	0.14598	EM_DIA
49	Fundo 2	Produto 1	Cedente 1	Sacado 2204	8035714	PA	MG	2018-09-16	2018-08-22	2018-09-13	1231.31	29.97508105	0.029283528	1	0.9	0.074838	0.068123	0.022891	0.022091	0	0.925468815	0.000278	0.001656	0.333333	0.206014	0.495629	0	0.133333	0.4	0.066754	0.08727	0.407407	0.66758	0.632824	EM_DIA
50	Fundo 1	Produto 1	Cedente 2	Sacado 467	10000000	CE	RS	2018-03-18	2017-11-24	2018-03-18	532.12	70.48451942	0.03327644	0.033609	1	0		0		0	0.540554773	0		0		0.109617	0	0.066667	0.2	0.327489	0.321123	0.395062	0.890059	0.936603	EM_DIA
51	Fundo 2	Produto 1	Cedente 1	Sacado 75	8035714	PA	AL	2018-09-17	2018-07-23	2018-09-17	5932.3	338.7535118	0.03019642	0.198298	0.5	0.958703	0.048843	0		0	0.882401677	0.020232	0.005519	0.666667	0.196417	0.425689	0	0.4	0.6	0.055117	0.075854	0.407407	0.634165	0.505106	EM_DIA
52	Fundo 1	Produto 1	Cedente 2	Sacado 2205	10000000	CE	SP	2018-03-20	2017-11-20	2018-03-20	396.1	29.14066098	0.017905558	0.033122	1	0		0		0	0.144848918	0		0		0.109617	0	0.2	0.6	0.081502	0.079957	0.395062	0.889614	0.000493	EM_DIA
53	Fundo 2	Produto 2	Cedente 2	Sacado 173	10000000	CE	SP	2018-04-10	2018-02-22	2018-04-13	14098.44	1376.409982	0.061261935	0.044554	1	0		0		0	0.535983057	0.000637	0.007726	0		0	0	0.133333	0.4	0.140481	0.138993	0.395062	0.882104	0.984719	ATRASO
54	Fundo 1	Produto 1	Cedente 2	Sacado 273	10000000	CE	SP	2018-03-18	2017-10-28	2018-03-18	733.07	80.7317698	0.022477756	0.028472	1	0		0		0	0.378228844	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.952611	EM_DIA
55	Fundo 2	Produto 1	Cedente 1	Sacado 466	8035714	PA	PA	2018-09-21	2018-08-23	2018-09-21	11661.5	213.6634859	0.018959877	0.199748	0.5	0.958703	0.068123	0.022891	0.022091	0	0.434588004	0.02028	0.003863	0.666667	0.206014	0.495629	0	0.333333	0.6	0.066754	0.08727	0.407407	0.66758	0.977494	EM_DIA
56	Fundo 1	Produto 1	Cedente 2	Sacado 2206	10000000	CE	PR	2018-03-19	2017-11-21	2018-03-22	972.84	138.3122263	0.034374161	0.033122	1	0		0		0	0.551988145	0		0		0.109617	0	0.2	0.6	0.081502	0.079957	0.395062	0.889614	0.973166	ATRASO
57	Fundo 2	Produto 1	Cedente 1	Sacado 1432	8035714	PA	PR	2018-07-06	2018-06-20	2018-07-05	41086.1	2846.026029	0.133805844	0.194698	0.5	0.958703	0.001285	0		0	0.87369515	0.020195	0.192605	0.666667	0.172745	0.406859	0	0.466667	0.8	0.029915	0.037156	0.432099	0.702674	0.979628	EM_DIA
58	Fundo 2	Produto 1	Cedente 1	Sacado 2207	8035714	PA	TO	2018-07-04	2018-06-23	2018-07-02	63953.74	3151.332209	0.140173896	0.194698	0.5	0.958703	0.001285	0		0	0.585083943	0.020195	0.192605	0.666667	0.172745	0.406859	0	0.466667	0.8	0.029915	0.037156	0.432099	0.702674	0.966497	EM_DIA
59	Fundo 1	Produto 1	Cedente 2	Sacado 257	10000000	CE	SP	2018-03-18	2017-11-19	2018-03-18	656.17	43.24808626	0.016221452	0.033122	1	0		0		0	0.014458419	0		0		0.109617	0	0.2	0.6	0.081502	0.079957	0.395062	0.889614	0.964861	EM_DIA
60	Fundo 1	Produto 1	Cedente 2	Sacado 462	10000000	CE	MA	2018-03-20	2017-11-20	2018-03-22	153.63	18.23612809	0.028439067	0.033122	1	0		0		0	0.167450358	0		0		0.109617	0	0.2	0.6	0.081502	0.079957	0.395062	0.889614	0.390544	ATRASO
61	Fundo 2	Produto 1	Cedente 1	Sacado 587	8035714	PA	MT	2018-06-08	2018-04-11	2018-06-08	930.72	26.81201575	0.014798434	1	0.9	0.074338	0.003856	0		0	0.835372613	0.000266	0.159492	0.333333	0.134357	0.347007	0	0.266667	0.8	0.009848	0.012648	0.395062	0.679546	0.951974	EM_DIA
62	Fundo 3	Produto 1	Cedente 2	Sacado 2208	10000000	CE	SP	2018-02-01	2017-09-21	2018-02-02	732	54.72096541	0.016394545	0.026007	1	0		0		0	0.919622644	0.000024	0	0		0.159381	0	0.2	0.6	0.168019	0.170208	0.407407	0.861531	0.604047	ATRASO
63	Fundo 1	Produto 1	Cedente 2	Sacado 453	10000000	CE	RS	2018-03-17	2018-02-15	2018-03-17	888.25	75.56171406	0.085068071	0.043244	1	0		0		0	0.848893307	0.000874	0.001656	0		0	0	0.066667	0.2	0.140517	0.13886	0.382716	0.883173	0.999869	EM_DIA
64	Fundo 1	Produto 1	Cedente 2	Sacado 2209	10000000	CE	MG	2018-05-10	2018-04-12	2018-05-09	367.46	13.04127049	0.038073013	0.050462	1	0		0.010067	0.049337	0	0.74334623	0.000002	0.003863	0		0.163416	0	0.2	0.6	0.065363	0.063924	0.382716	0.892407	0.990944	EM_DIA
65	Fundo 2	Produto 1	Cedente 1	Sacado 2210	8035714	PA	RS	2018-07-23	2018-06-22	2018-07-24	28088	451.9797238	0.015568457	0.194698	0.5	0.958703	0.001285	0		0	0.933895228	0.020195	0.192605	0.666667	0.172745	0.406859	0	0.466667	0.8	0.029915	0.037156	0.432099	0.702674	0.964881	ATRASO
66	Fundo 1	Produto 1	Cedente 2	Sacado 191	10000000	CE	MG	2018-03-19	2018-02-19	2018-03-16	484.73	11.94323816	0.02642193	0.044078	1	0		0		0	0.960200196	0.000637	0.005519	0		0	0	0.133333	0.4	0.139847	0.138412	0.395062	0.881809	0.917643	EM_DIA
67	Fundo 2	Produto 1	Cedente 1	Sacado 2211	8035714	PA	MT	2018-07-22	2018-05-21	2018-07-22	1935.35	111.0491941	0.027364606	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.983810253	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.997745	EM_DIA
68	Fundo 2	Produto 1	Cedente 1	Sacado 2212	8035714	PA	RO	2018-07-23	2018-05-23	2018-07-23	9375.86	575.8851511	0.02975016	0.192935	0.5	0.958204	0.014139	0.013354	0.246686	0	0.172853441	0.020198	0.015453	0.666667	0.161228	0.392065	0	0.266667	0.6	0.010041	0.012547	0.395062	0.698438	0.00381	EM_DIA
69	Fundo 1	Produto 1	Cedente 2	Sacado 48	10000000	CE	PR	2018-03-19	2017-10-25	2018-03-21	949.25	132.3810824	0.02737912	0.028472	1	0		0		0	0.952742839	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.450016	ATRASO
70	Fundo 1	Produto 1	Cedente 2	Sacado 2213	10000000	CE	BA	2018-03-19	2017-10-24	2018-03-12	1688.91	182.2992017	0.021285321	0.028472	1	0		0		0	0.761295571	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.759328	EM_DIA
71	Fundo 1	Produto 1	Cedente 2	Sacado 1041	10000000	CE	RN	2018-02-02	2017-12-06	2018-02-02	289.08	30.32580903	0.052953908	0.035188	1	0		0		0	0.030562195	0.000002	0.001656	0		0.104237	0	0	0	0.080269	0.078879	0.407407	0.888131	0.84923	EM_DIA
72	Fundo 1	Produto 1	Cedente 2	Sacado 1598	10000000	CE	BA	2018-02-01	2017-10-24	2018-02-03	1681	139.3472396	0.024179215	0.028472	1	0		0		0	0.172188577	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.999254	ATRASO
73	Fundo 1	Produto 1	Cedente 2	Sacado 161	10000000	CE	PR	2018-03-19	2017-10-24	2018-03-21	2101.02	200.659311	0.018919777	0.028472	1	0		0		0	0.631148209	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.280991	ATRASO
74	Fundo 1	Produto 1	Cedente 2	Sacado 2214	10000000	CE	PA	2018-03-19	2017-10-24	2018-03-19	767.39	116.4453668	0.029454701	0.028472	1	0		0		0	0.017455308	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.598465	EM_DIA
75	Fundo 1	Produto 1	Cedente 2	Sacado 2215	10000000	CE	PR	2018-04-12	2018-03-16	2018-04-10	698.79	47.53006569	0.075855189	0.046926	1	0		0		0	0.646828902	0.000313	0.003311	0		0.065905	0	0.133333	0.4	0.946039	0.950397	0.382716	0.868756	0.985151	EM_DIA
76	Fundo 1	Produto 1	Cedente 2	Sacado 35	10000000	CE	SP	2018-03-19	2017-11-10	2018-03-19	1848.81	240.6396126	0.028864189	0.032025	1	0		0.000649	0.005891	0	0.620902767	0		0		0.109617	0	0.133333	0.4	0.168702	0.172724	0.407407	0.852432	0.854727	EM_DIA
77	Fundo 1	Produto 1	Cedente 2	Sacado 2216	10000000	CE	SC	2018-03-18	2017-11-10	2018-03-21	1116.3	161.645715	0.032203176	0.032025	1	0		0.000649	0.005891	0	0.590359937	0		0		0.109617	0	0.133333	0.4	0.168702	0.172724	0.407407	0.852432	0.507193	ATRASO
78	Fundo 2	Produto 1	Cedente 1	Sacado 1342	8035714	PA	TO	2018-08-22	2018-07-07	2018-08-24	17668.02	915.3327118	0.033489835	0.196843	0.5	0.958703	0.03599	0		0	0.969531118	0.020198	0.037528	0.666667	0.190019	0.406859	0	0.4	0.6	0.055117	0.075854	0.407407	0.634165	0.897097	ATRASO
79	Fundo 2	Produto 1	Cedente 1	Sacado 2217	8035714	PA	PA	2018-03-21	2018-02-24	2018-03-20	16182.05	650.9728362	0.048465848	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.465770988	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.901217	EM_DIA
80	Fundo 1	Produto 1	Cedente 2	Sacado 2218	10000000	CE	SP	2018-04-27	2018-03-29	2018-04-24	1492.84	150.0401996	0.104146909	0.046926	1	0		0		0	0.251614231	0.000313	0.003311	0		0.065905	0	0.133333	0.4	0.946039	0.950397	0.382716	0.868756	0.107863	EM_DIA
81	Fundo 2	Produto 1	Cedente 1	Sacado 1425	8035714	PA	SP	2018-08-08	2018-07-08	2018-08-08	22275.53	826.2460912	0.035874371	0.196843	0.5	0.958703	0.03599	0		0	0.286496138	0.020198	0.037528	0.666667	0.190019	0.406859	0	0.4	0.6	0.055117	0.075854	0.407407	0.634165	0.965708	EM_DIA
82	Fundo 2	Produto 1	Cedente 1	Sacado 1093	8035714	PA	SP	2018-03-21	2018-02-19	2018-03-21	7756.2	289.4719261	0.037321359	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.717858103	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.424251	EM_DIA
83	Fundo 1	Produto 1	Cedente 2	Sacado 152	10000000	CE	SP	2018-02-01	2017-10-30	2018-01-29	404.8	35.99110703	0.027557325	0.028472	1	0		0		0	0.666354779	0		0		0.168124	0	0.066667	0.2	0.727965	0.738669	0.407407	0.860111	0.715919	EM_DIA
84	Fundo 2	Produto 1	Cedente 1	Sacado 2219	8035714	PA	BA	2018-03-21	2018-02-21	2018-03-21	2144.86	78.48243925	0.039255239	1	0.9	0.073837	0.011568	0.013354	0.179676	0	0.082486133	0.000266	0.131347	0.333333	0.101727	0.415602	0	0.2	0.6	0.022618	0.032021	0.419753	0.616463	0.52692	EM_DIA
