CODIGO	NOME_FUNDO	TIPO_PRODUTO	CEDENTE	SACADO	LIMITE_CEDENTE	ESTADO_CEDENTE	ESTADO_SACADO	VENCIMENTO	DATA_EMISSAO	DATA_PAGAMENTO	VALOR_REAL	VALOR_DESAGIO	TAXA_MENSAL	RISCO_1	RISCO_2	RISCO_3	RISCO_4	RISCO_5	RISCO_6	RISCO_7	RISCO_8	RISCO_9	RISCO_10	RISCO_11	RISCO_12	RISCO_13	RISCO_14	RISCO_15	RISCO_16	RISCO_17	RISCO_18	RISCO_19	RISCO_20	RISCO_21	STATUS_LIQ_TITULO
9270	Fundo 1	Produto 1	Cedente 17	Sacado 1033	2500000	SP	SP	2018-09-03	2018-07-27	2018-09-03	174.21	3.757160292	0.016988137	0.386979	0	0		0		0	0.00104477	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.95698	EM_DIA
9271	Fundo 1	Produto 1	Cedente 2	Sacado 3499	10000000	CE	MG	2018-07-25	2018-04-22	2018-07-24	566.16	69.41442425	0.03760001	0.05058	1	0		0		0	0.142702548	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.809243	EM_DIA
9272	Fundo 2	Produto 1	Cedente 2	Sacado 1170	10000000	CE	SP	2018-07-26	2018-04-28	2018-07-26	373.12	46.12843856	0.040073203	0.05058	1	0		0		0	0.819784204	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.762452	EM_DIA
9273	Fundo 2	Produto 1	Cedente 2	Sacado 1509	10000000	CE	SP	2018-07-26	2018-04-28	2018-07-28	415.76	29.84857711	0.023645828	0.05058	1	0		0		0	0.644693398	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.787671	ATRASO
9274	Fundo 1	Produto 1	Cedente 17	Sacado 6216	2500000	SP	SP	2018-09-12	2018-07-18	2018-09-12	122.03	12.54657551	0.053827167	0.386979	0	0		0		0	0.474407333	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.041969	EM_DIA
9275	Fundo 1	Produto 1	Cedente 17	Sacado 6217	2500000	SP	SP	2018-09-19	2018-09-01	2018-09-19	177.21	5.502623247	0.05228621	0.389915	0	0		0		0	0.278365557	0		0		0.547411	0	0.133333	0.4	0.069946	0.062937	0.382716	0.96995	0.86554	EM_DIA
9276	Fundo 1	Produto 1	Cedente 17	Sacado 840	2500000	SP	SP	2018-09-21	2018-07-24	2018-09-21	277.94	13.80899752	0.024961659	0.386979	0	0		0		0	0.036157511	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.969101	EM_DIA
9277	Fundo 1	Produto 1	Cedente 17	Sacado 2418	2500000	SP	SP	2018-09-20	2018-07-24	2018-09-19	354.41	13.5862159	0.019648235	0.386979	0	0		0		0	0.742372759	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.57068	EM_DIA
9278	Fundo 1	Produto 1	Cedente 17	Sacado 1237	2500000	SP	SP	2018-09-15	2018-07-23	2018-09-15	641.73	28.10378592	0.024097966	0.386979	0	0		0		0	0.844555179	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.948092	EM_DIA
9279	Fundo 1	Produto 1	Cedente 17	Sacado 2068	2500000	SP	SP	2018-09-14	2018-07-23	2018-09-14	214.82	19.1098122	0.049420499	0.386979	0	0		0		0	0.618616368	0		0		0.565568	0	0.133333	0.4	0.032911	0.029484	0.382716	0.974181	0.212618	EM_DIA
